,attentivefp,chemberta2,chemprop,gcn,gps,krovex,lgbm,molformer,rf,selformer,svr,transformer,unimol_pt,xgb
attentivefp,0.9999999999999998,0.9045876035604951,0.9706040476651865,0.9635658942671071,0.9571140762704019,0.9480952115492248,0.8969874817231535,0.9629823457474832,0.8775201188316203,0.9588226493931091,0.7231578270290678,0.9516896251710961,0.9730681570093409,0.9154504018043953
chemberta2,0.9045876035604952,1.0,0.8757529463540835,0.8967324324617622,0.8819341512127054,0.907539682752442,0.860977100549306,0.9178177808326985,0.8323422085903743,0.8948279851600687,0.7117342749668267,0.9113227635457574,0.9289603905048465,0.8704958790926404
chemprop,0.9706040476651865,0.8757529463540835,1.0,0.9647619410796218,0.9604745447612418,0.9407804368795932,0.8915977615388765,0.9542173649667692,0.8703285070384781,0.9612652793500136,0.7271479584497886,0.9468233368109616,0.9661336849216559,0.9119817785309569
gcn,0.963565894267107,0.8967324324617622,0.9647619410796218,1.0,0.966411381664429,0.9531212134192486,0.8924359803140043,0.9421452888872369,0.8647665834493449,0.9470804823769783,0.7373092860516457,0.942052178670646,0.9482411675264464,0.909656231714601
gps,0.9571140762704019,0.8819341512127054,0.9604745447612418,0.9664113816644289,1.0,0.9345749572397408,0.8823822220726266,0.9409670241075572,0.8590347577257305,0.9404635005558267,0.7271629695839926,0.9339440169788976,0.9388365764774083,0.8979030510698297
krovex,0.9480952115492248,0.907539682752442,0.9407804368795932,0.9531212134192487,0.9345749572397408,0.9999999999999999,0.8687729586086271,0.926539933792703,0.8486324635703038,0.9268622209293436,0.7344464147557148,0.9324802691876687,0.9460544930224064,0.8899586713693495
lgbm,0.8969874817231533,0.860977100549306,0.8915977615388764,0.8924359803140042,0.8823822220726267,0.8687729586086271,1.0,0.8961864412668458,0.9427210327979517,0.889382353670233,0.7145627719870887,0.8985443829296044,0.9101962987855441,0.9485770512074936
molformer,0.9629823457474832,0.9178177808326985,0.9542173649667692,0.9421452888872368,0.9409670241075573,0.9265399337927032,0.8961864412668458,1.0,0.8769855073232653,0.9618580829229103,0.709112271195926,0.9538378640056866,0.9676019872194987,0.9106711831429252
rf,0.8775201188316203,0.8323422085903744,0.8703285070384781,0.8647665834493449,0.8590347577257306,0.8486324635703038,0.9427210327979516,0.8769855073232653,0.9999999999999999,0.8693023926720944,0.6873576682517186,0.8757453172607328,0.8883199874680456,0.9464779790860944
selformer,0.9588226493931091,0.8948279851600687,0.9612652793500136,0.9470804823769783,0.9404635005558266,0.9268622209293436,0.8893823536702331,0.9618580829229103,0.8693023926720943,1.0,0.7194788050956505,0.9602721305790106,0.9656208772314192,0.9105220626579275
svr,0.7231578270290678,0.7117342749668268,0.7271479584497886,0.7373092860516457,0.7271629695839926,0.7344464147557147,0.7145627719870887,0.709112271195926,0.6873576682517187,0.7194788050956507,1.0,0.7347723545834807,0.7329883947761674,0.7364542069545594
transformer,0.9516896251710961,0.9113227635457574,0.9468233368109619,0.9420521786706461,0.9339440169788977,0.9324802691876686,0.8985443829296043,0.9538378640056866,0.8757453172607328,0.9602721305790107,0.7347723545834806,1.0,0.9573243704565385,0.9140742979123386
unimol_pt,0.9730681570093409,0.9289603905048465,0.9661336849216559,0.9482411675264463,0.9388365764774083,0.9460544930224065,0.9101962987855441,0.9676019872194987,0.8883199874680456,0.9656208772314192,0.7329883947761673,0.9573243704565385,1.0,0.9263748156031684
xgb,0.9154504018043953,0.8704958790926403,0.9119817785309569,0.909656231714601,0.8979030510698296,0.8899586713693495,0.9485770512074935,0.9106711831429252,0.9464779790860944,0.9105220626579275,0.7364542069545594,0.9140742979123385,0.9263748156031684,1.0
